"경기도 양평군 (4183000000)","125,238","125,238","6,482","9,996","9,822","10,549","16,122","21,442","26,918","15,047","7,635","1,194","31"
"경기도 양평군 양평읍(4183025000)","35,613","35,613","2,352","3,556","3,737","3,802","5,376","6,185","5,884","2,975","1,506","236","4"
"경기도 양평군 강상면(4183031000)","10,032","10,032","710","911","709","907","1,536","1,583","1,971","1,139","492","73","1"
"경기도 양평군 강하면(4183032000)","4,880","4,880","161","199","316","314","466","827","1,427","796","323","49","2"
"경기도 양평군 양서면(4183033000)","13,900","13,900","627","1,021","1,087","1,117","1,658","2,510","3,101","1,796","856","122","5"
"경기도 양평군 옥천면(4183034000)","8,105","8,105","385","583","592","671","1,011","1,402","1,879","1,006","500","76","0"
"경기도 양평군 서종면(4183035000)","10,031","10,031","519","885","570","740","1,460","1,785","2,280","1,233","479","80","0"
"경기도 양평군 단월면(4183036000)","3,928","3,928","92","236","206","240","376","665","1,071","627","366","48","1"
"경기도 양평군 청운면(4183037000)","3,781","3,781","82","141","192","184","321","631","1,081","672","415","60","2"
"경기도 양평군 양동면(4183038000)","4,572","4,572","107","199","245","250","360","789","1,308","778","446","86","4"
"경기도 양평군 지평면(4183039500)","6,833","6,833","198","344","402","362","606","1,148","1,911","1,099","640","118","5"
"경기도 양평군 용문면(4183040000)","18,449","18,449","1,075","1,631","1,437","1,647","2,400","3,041","3,689","2,143","1,194","187","5"
"경기도 양평군 개군면(4183041000)","5,114","5,114","174","290","329","315","552","876","1,316","783","418","59","2"
